bank,appId,review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
Abyssinia Bank,com.boa.boaMobileBanking,2cca5354-a418-4f33-8775-5e3297c7ee19,suleman talegegn,https://play-lh.googleusercontent.com/a-/ALV-UjUiDXCMy_70JoLJEVjTyyUlxAnjGg-aASQGhKttxdTVIIMm2O6W,1,24.03.04,2024-04-28 20:39:57,,,24.03.04,5,Ok,,,,
Abyssinia Bank,com.boa.boaMobileBanking,3f788aa6-a2fe-41c0-a9fc-ef60c341556f,Fasika Mekbib (X21E),https://play-lh.googleusercontent.com/a-/ALV-UjUTaEcnMEy1Wa2mlnIxlRKo7138Dt_cCs8v4iMBTs_jhFq5qBGM,2,24.04.23,2024-04-28 20:04:58,,,24.04.23,1,"This Platform is need Re Development 😔 even I try to type my OTP but Its not working for me, It's Very Bad Application for Payment system",,,,
Abyssinia Bank,com.boa.boaMobileBanking,bcba2128-069d-4cbd-ae39-28d6b54382da,Tarekegn Tare,https://play-lh.googleusercontent.com/a/ACg8ocLBAHrg1oD9nLA2jUncWEKRlz8RDEuwmBs9o9-3wwDFF55ySA=mo,1,24.03.04,2024-04-28 16:58:17,,,24.03.04,2,Our system is not work,,,,
Abyssinia Bank,com.boa.boaMobileBanking,c39ef87d-e442-4f7f-a960-9f9abc072611,Abirham Agent,https://play-lh.googleusercontent.com/a/ACg8ocLlMNlTAIq0aSWsktR35BRsghd_G_X5lNIH3RSbuKVXbmgj5w=mo,1,24.03.04,2024-04-28 13:37:25,,,24.03.04,5,best,,,,
Abyssinia Bank,com.boa.boaMobileBanking,a8ee8ee6-d73f-4144-ad45-fb25582a8b25,AB Entertainment,https://play-lh.googleusercontent.com/a-/ALV-UjUhWHt4-ygZU13tU6Xll2vYtqCSlfLO4k84dZQm0y3jp9XjnYw3,17,24.04.23,2024-04-28 13:02:24,,,24.04.23,1,More failure after update. have multiple connection problem issues. To make one request i'm try more then 4 or 5 times pre every process. Works not more than 8 hour in a day 24 hour.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,b682e2db-a533-40e2-8a2a-951c1e7cb84d,Emgu2 Cha1,https://play-lh.googleusercontent.com/a-/ALV-UjWYs1VBd0aci6d-4Fug4aP8QwEzLxkn3vxxSvmdv9xkpE4ikgCh,1,,2024-04-28 12:36:25,,,,5,Nice app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,6e540a39-b5f3-44a6-856a-e4f8f0f226af,Abey Mulatu,https://play-lh.googleusercontent.com/a/ACg8ocJw9pFoaXrw9Bp1AFW0IVAluJ7I_JrQHpqLxmDbtuBfUKk-mA=mo,1,24.03.04,2024-04-28 07:09:27,,,24.03.04,1,It is not good slow app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,be0151f5-b66b-4700-bcd8-d659fd821c44,Samuel Ayana,https://play-lh.googleusercontent.com/a-/ALV-UjXRHxKdBx7Zr3pnnCWioLkATn9gUv7jOYxVsq2TEVhVE_X-4Bs,1,24.03.04,2024-04-27 23:30:46,,,24.03.04,5,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,6a5b273b-d9d2-47f4-b992-df36fec86cbb,Hawi Adicho,https://play-lh.googleusercontent.com/a-/ALV-UjWYFGM6USy7ao2J65ZXYfqErbqeEHvEQDiGT4KxnoAUmTVu2Sw,2,23.12.09,2024-04-27 20:50:35,,,23.12.09,2,"Nn ,n An, NNE.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,fe39ceca-ea96-473c-bfea-1a3c896dff36,Luh Kel,https://play-lh.googleusercontent.com/a/ACg8ocKhSpDSlpqlOQkmLk4kQl1QifVKpC7KJSxlmPnSc0zzlc3BCQ=mo,0,,2024-04-27 19:57:21,,,,1,I't is not working lol,,,,
Abyssinia Bank,com.boa.boaMobileBanking,318513af-9b29-43c1-990d-fc4a678802f3,Phoenix Virgo,https://play-lh.googleusercontent.com/a-/ALV-UjVSEjYhwqiaEC94qmiLUYwiiqDGk8svzRPXNYkyMx4DKsUcaZCw,2,24.03.04,2024-04-27 19:33:54,,,24.03.04,2,It is not fast when sending mony,,,,
Abyssinia Bank,com.boa.boaMobileBanking,97088da4-b2b2-41d5-aed3-d5779224dd2c,Gadisa Worku,https://play-lh.googleusercontent.com/a-/ALV-UjWIey4nHw9IVIT6L-cUTO_qnba38Tfjisej-x1idbReVMoHdT_k,3,,2024-04-27 18:52:17,,,,5,wow best,,,,
Abyssinia Bank,com.boa.boaMobileBanking,acc4256d-ac62-4abd-908e-ebea3ace060a,Temesgen Yekoye,https://play-lh.googleusercontent.com/a/ACg8ocIHTRxO-r5s4bbZtNzX73tKzRdEYo7PZVQx9Px_FN54E66n2w=mo,1,24.04.23,2024-04-27 14:01:45,,,24.04.23,1,Nice,,,,
Abyssinia Bank,com.boa.boaMobileBanking,45a55117-6322-4d59-b931-415173ccd8c1,Ahadu tech,https://play-lh.googleusercontent.com/a-/ALV-UjWOhd6tDkB5D0Ws9KjbNiDZMM0fSVJ0ykgIWeFwpaPTgsqmNCU,4,24.03.04,2024-04-27 13:02:45,,,24.03.04,2,It doesn't look like banking app it's unresponsive worest banking app in the world,,,,
Abyssinia Bank,com.boa.boaMobileBanking,182ff188-5ec0-4a02-9423-752573aa862e,Liul Bekalu,https://play-lh.googleusercontent.com/a/ACg8ocKFERErAp4bECuMfUtzfj5F5vHikfcRX5LiPVmfERUqh6rwTg=mo,1,24.04.23,2024-04-27 12:20:02,,,24.04.23,2,Hard to access pls modify it,,,,
Abyssinia Bank,com.boa.boaMobileBanking,4295a88b-b1fb-4a30-b1c8-e4b4c505c9ea,Betsegaw Daniel,https://play-lh.googleusercontent.com/a-/ALV-UjUfc4Ry5-2vIu7OsO3ZIHpLF7hyido-Kct_DFHO5yBp1AyCNFE,0,24.03.04,2024-04-27 10:47:47,,,24.03.04,1,የተመታ app new,,,,
Abyssinia Bank,com.boa.boaMobileBanking,90078873-2750-4192-8314-7b85a6873595,Israel Adane,https://play-lh.googleusercontent.com/a/ACg8ocJwUHq0xROIYP4NYpwuFbW9zbZAGHwZCicA7MbIBi8NAzeQ8A=mo,1,24.02.14,2024-04-27 03:48:55,,,24.02.14,5,👍,,,,
Abyssinia Bank,com.boa.boaMobileBanking,cf9093f2-8cde-4168-89ea-bc2a2c147a8b,Aschalew Zawde,https://play-lh.googleusercontent.com/a/ACg8ocLWW27nJNGmrcFjl0AHfkLr3facO7Cn7wd1XDXpbbGpBjg50Q=mo,1,24.03.04,2024-04-26 23:16:51,,,24.03.04,5,Wowwwwww,,,,
Abyssinia Bank,com.boa.boaMobileBanking,e31e274a-a56f-4b24-95c5-796c1f6cf19f,Umear “Shushu” Sisay,https://play-lh.googleusercontent.com/a/ACg8ocKFQem7B1KBqm3r3Xn3by3U5JX6_te-QruIz5XVbi4Eu6zXXg=mo,4,24.03.04,2024-04-26 22:58:18,,,24.03.04,5,Very good application and easy too use,,,,
Abyssinia Bank,com.boa.boaMobileBanking,22e7481e-cfcc-443f-9e39-cc58ce1e955d,munzer ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjV5WhJgILIhlRiCdcanR0RsVkE17rExf2Fq2h4mwynQfvl3Hsep,1,24.04.23,2024-04-26 22:40:53,,,24.04.23,1,This application says system error most of the time.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,6591206a-6634-4912-ab3c-c52bd283b49d,Aman Awol,https://play-lh.googleusercontent.com/a/ACg8ocIymKv9CjnHaeuRkWhZSfDdsX-uHyd2dM1xbuIJTujn1klEag=mo,1,24.04.23,2024-04-26 21:51:55,,,24.04.23,1,"What a useless app, didn't expect this kind of app from BOA",,,,
Abyssinia Bank,com.boa.boaMobileBanking,5dd2743e-a3e7-4972-b52d-c556bccc1a02,Bitew Banteyirga,https://play-lh.googleusercontent.com/a-/ALV-UjVedx0eOrDL0EwuYMgaKj0VcfGoYlKuJ7WqBjINERQTTTubeFKY,1,24.03.04,2024-04-26 18:59:52,,,24.03.04,5,Fantastic app in history Ethiopia,,,,
Abyssinia Bank,com.boa.boaMobileBanking,b90ea441-ca3d-4150-b2d0-50841186b274,Alemigizaw Esayas,https://play-lh.googleusercontent.com/a-/ALV-UjXrpxg1LC6O5EeQEeepxY1ixrbGDkDD-H8E4T8pLA6BhjdvMipt,28,24.03.04,2024-04-26 16:11:23,,,24.03.04,5,What an app what a service it is user friendly and so easy,,,,
Abyssinia Bank,com.boa.boaMobileBanking,af0d43ef-f4a5-4f20-8506-d7506e7be31f,anteneh admasu,https://play-lh.googleusercontent.com/a-/ALV-UjVeMNYjjLoeXbAzF6sTh2q9WXdMQE2_QKWzrgSLcWO3ZipADBU,2,24.04.23,2024-04-26 15:53:36,,,24.04.23,1,The new update 😔 It's crash every time I open (samsung A series),,,,
Abyssinia Bank,com.boa.boaMobileBanking,8894f912-aa77-4ab9-bcc8-686aaecbb44c,Dumesa Tefera,https://play-lh.googleusercontent.com/a/ACg8ocLOOjh9sTHiaZWKxPruFhVr9Rya9WIGQvtzNm5zU4nh0XgOIg=mo,34,24.03.04,2024-04-26 15:35:08,,,24.03.04,5,To difficult to use it have too long step and not easy.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,51965878-caac-473c-bc85-7c760b058f59,Explore Ethiopia,https://play-lh.googleusercontent.com/a-/ALV-UjXO_6X7Q-QKE_eSANdAsW-2RxpzxQZMDR_v8Px_uuRNbA3MQycvfA,65,24.03.04,2024-04-26 14:28:08,,,24.03.04,1,"I have never seen an app like these. It is slow and doesn't respond quickly.It always says "" see device connectivity "" "" which is annoying.If there is a rating called 0 then I will give it 0. Please learn from other competitive apps like telebirr that is fast and easy to use.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,7c6b6447-e777-49e5-976f-bbd2e634290d,Henok Wondwossen,https://play-lh.googleusercontent.com/a-/ALV-UjUZNoiJqinp1YfnBTQb8-HaCLVthUdST3eAf0vu8koQOYJpF_fX,3,24.04.23,2024-04-26 12:39:53,,,24.04.23,2,Best service and ideas but poor application...develop a better app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,b126c536-fb04-4478-afce-468611a0f0b2,Henok Henokab,https://play-lh.googleusercontent.com/a/ACg8ocJI3aci8svF_KF6ZXG3eKAJ-6-cK0zk5eUbw-NVyrnXRQTgZQ=mo,0,24.03.04,2024-04-26 04:04:09,,,24.03.04,5,Nice,,,,
Abyssinia Bank,com.boa.boaMobileBanking,abfd70cd-28fc-4ad9-9851-b3a33fdacf9d,Ermias Tesfaye,https://play-lh.googleusercontent.com/a-/ALV-UjUBHl_93lSIqOOkqxMHlMBFWb6mdx0ZRYWKGICAkDgls0CMyo1q,0,,2024-04-25 20:51:18,,,,1,Useless apps,,,,
Abyssinia Bank,com.boa.boaMobileBanking,ebd421d3-1857-46a0-9a0c-7bf25a64a70e,Nasradin Ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjV3-amGqbfF7DrfDRGHLDNPKA3TXljbyTIr98Wz6eBUBvoox-lU,16,24.04.23,2024-04-25 17:54:38,,,24.04.23,1,Frequently crash. You can't even log in. It says device connection problem with even strong Internet connection.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,64a2c9de-f4c4-4260-a4b4-f1000130b3c9,Addis Kassahun,https://play-lh.googleusercontent.com/a-/ALV-UjV07_QyzttSI4bewFdQctWFnHi9c-uq94iyPLaf7-FXKGzdwPE,1,24.03.04,2024-04-25 08:10:24,,,24.03.04,5,its to be called wonderful,,,,
Abyssinia Bank,com.boa.boaMobileBanking,7b1ddf26-0977-4ada-b402-737365e659b1,Fast Fast,https://play-lh.googleusercontent.com/a-/ALV-UjUBOoCpqe6ekKMbX_FUAO8PuxInBmhjGUQat9DomMbk5A7aPoA,2,24.03.04,2024-04-25 00:30:18,,,24.03.04,3,Wonderful app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,48eae21a-d134-4cd1-8324-8bf1ede672ba,Abduraman Munir,https://play-lh.googleusercontent.com/a/ACg8ocLmXABleZ7KQnkigWdwCeXd2aaZsX84JgmjQIVPUArPbmOzeQ=mo,1,24.03.04,2024-04-24 23:01:41,,,24.03.04,4,Great app I love it,,,,
Abyssinia Bank,com.boa.boaMobileBanking,dadac710-982a-4fd6-9208-10c073da0477,Kiyar Husen,https://play-lh.googleusercontent.com/a/ACg8ocJfVH0b0DDal7BU-jL3RGqYfIu5oIYIdT54l8WFWJX3FQdC3g=mo,0,24.03.04,2024-04-24 22:04:54,,,24.03.04,1,መጀመሪያ ደህና ነበረ አሁን ግን ሲስተም አርጎ እየዘረፉን ነው ብር ወደ አፖሎ ገባ ማለት ማውጣቱ መከረ,,,,
Abyssinia Bank,com.boa.boaMobileBanking,0d8b10f7-5a02-448f-a08f-330c6db9a5a5,Hiwot Fisseha,https://play-lh.googleusercontent.com/a/ACg8ocKktmB7fMbkihkXeSb0OqPjPiMzBaRt0CeXPZAc9DjaVaq2Aw=mo,1,,2024-04-24 18:39:50,,,,4,"In our country technological situation, Probably better than other bank's app.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,2fda245d-9ad3-4e66-9290-8a8a60c635c6,Bedru Nuri,https://play-lh.googleusercontent.com/a-/ALV-UjXR3bEDll4aKAQYjFTAZtm7HgJNwa0hE7UNAaxRzsJ3Mny44PePZw,1,24.03.04,2024-04-24 18:13:50,,,24.03.04,5,Nice app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,4f4dc655-5fb8-4d48-9cd0-6134946ca6eb,Degole Chacha,https://play-lh.googleusercontent.com/a-/ALV-UjV4Fe1mZeEoo7-O6Ig3Ks5o27NE9wKcKigrVpooHr78mrocmfGP,1,24.03.04,2024-04-24 17:30:57,,,24.03.04,5,❤,,,,
Abyssinia Bank,com.boa.boaMobileBanking,1ee008c8-8bad-4746-8dc5-3fa7827ae345,Amare,https://play-lh.googleusercontent.com/a/ACg8ocIpLpvPr2a6Nk0OelW8nTWkO-kzNuVEDD8pRI4qC72Idd2a2Q=mo,1,24.04.23,2024-04-24 17:21:51,,,24.04.23,5,I revewd this app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,a165692c-8f97-4a9a-a2e0-6f0b8d1fa79d,ቃለአብ አለሙ,https://play-lh.googleusercontent.com/a-/ALV-UjWNreMexFwEp7gKyIPOQ56LploDH6hE3L-RwraT1OHASwh3K8xs,12,24.04.23,2024-04-24 15:35:35,,,24.04.23,4,"Easy platform, Cheap service fee and interest rate with self onboarding financial service.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,ab64048a-29a9-4150-a3b6-1d9f91410735,samuel biyazn,https://play-lh.googleusercontent.com/a/ACg8ocKRoII18TlPm9Y09OK9frWT1PoOypfV1woC8L8Rt3kNQabPCQ=mo,0,,2024-04-24 15:23:36,,,,1,-5 ⭐,,,,
Abyssinia Bank,com.boa.boaMobileBanking,4c4e09c5-baab-452d-bcd5-3a8f096795b0,Ephrem (Ephi Google Map),https://play-lh.googleusercontent.com/a-/ALV-UjXTwuig_WOPF_1sIK_WfCzQCPioNojgZ3oSF36JvnkdwU8ZVHt0,0,,2024-04-24 15:17:09,,,,4,👍 good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,8da6bb0c-cb5a-4b0a-aca1-325a71c7a7d1,Tedros tsegay,https://play-lh.googleusercontent.com/a/ACg8ocLNtY2QWk7OIrfRlsUOAN0QPeKqCKh7GqGDPFPPNrULOhLQDA=mo,1,24.03.04,2024-04-24 15:03:17,,,24.03.04,5,It's modern technology of users bank of abesinia,,,,
Abyssinia Bank,com.boa.boaMobileBanking,2dcc35c2-e466-4bfe-bd17-a65f32c2970e,Orase oshora Olle,https://play-lh.googleusercontent.com/a-/ALV-UjWWk0WDnv8GUwTNOjlrdAMZ_oehh6PHoqPSDqegDpif3h25-4E,1,24.04.23,2024-04-24 11:30:07,,,24.04.23,5,whay,,,,
Abyssinia Bank,com.boa.boaMobileBanking,0735ad58-4edd-4dc3-b748-3209f36498fa,Yibrah yikalo,https://play-lh.googleusercontent.com/a/ACg8ocJN5A1yvSKeDgIM0zR5TAN1UPZlnwNZztH5ZNqpsv5DqPPqAQ=mo,1,,2024-04-24 08:02:15,,,,5,lets see it and rate you letter,,,,
Abyssinia Bank,com.boa.boaMobileBanking,71c45a1b-1423-48c2-ae76-431b4390b8cf,Mame Man,https://play-lh.googleusercontent.com/a/ACg8ocKPH04N7tPuEV_lVQ9-E_dsgDE-7CoeD0fMNuGb3kmp5supvg=mo,0,23.10.24,2024-04-24 02:49:12,,,23.10.24,1,አብታሙ ከድሬ,,,,
Abyssinia Bank,com.boa.boaMobileBanking,d4fef4bd-28d4-45f5-885b-259d7d4378ed,Gemechis Ejeta H.,https://play-lh.googleusercontent.com/a/ACg8ocJlV4b3OqqTqusOwJd_2M6yUXfaTl-uT7tmyS_5wSUcIljqN2c=mo,116,24.03.04,2024-04-23 22:37:47,,,24.03.04,1,"Apollo App Developers, I'm writing to express my disappointment with the underperformance of the Apollo app. The app freezing repeatedly has prevented me from completing urgent personal and business transactions, leading others to question my loyalty and reliability. Additionally, the microloan feature denied my requests without valid reasons. I kindly request that you prioritize resolving these issues professionally. Hope to see a few improvements in the app's performance soon, as solutions.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,72940b09-4cd7-43b2-a740-012361b770bc,Aklil Music,https://play-lh.googleusercontent.com/a-/ALV-UjUA7N5IXZ2W__0F-gWCP9IuEFGMciNQFZDOGIUxSUDC5qVK1gnG,0,,2024-04-23 20:00:10,,,,1,Otp maximum reached ylal bank to bank silk yhen emtanebu sewoch maryamn ke accounte lay genzeb hulu teserkobgn be mekera dewyelachew nw yemelesut ke kirnchaf salawota awtitew slezi leboch slehonu atitekemu. Ye system chgr rasu betam nw yalebachew,,,,
Abyssinia Bank,com.boa.boaMobileBanking,4049ee0c-beb4-4899-a945-9aa89e7d86f4,Alemayehu Gella,https://play-lh.googleusercontent.com/a/ACg8ocIghdn7Vh-7XjlLCX59df5qhKzfjN82maL35pf5ugV7LO5Trw=mo,4,24.03.04,2024-04-23 17:49:32,,,24.03.04,1,"it's very slow app i have ever seen, it doesn't work mostly ....don't download it.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,3af94ce3-22c7-4501-9be2-7ef9e2e40dd8,Yonatan Ayalew,https://play-lh.googleusercontent.com/a/ACg8ocL5hiNvlEIRtMS9X7nHAwLrySxNimRLi1CDn1y0adNszWRBvw=mo,15,23.07.08,2024-04-23 13:23:47,,,23.07.08,3,"I do enjoy the services, Often though it's shows various errors when trying to log in.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,d2310daf-145e-4b6f-be04-050259f0d93a,Samuel Belayneh Debele,https://play-lh.googleusercontent.com/a-/ALV-UjX9XdwvZGuN7YFIhvBl1cvXya909FlqpWLJNMyyyFqodVErHsLf,1,24.03.04,2024-04-23 12:48:09,,,24.03.04,5,👍👍👍wow abisseniya bank thank you somuch,,,,
Abyssinia Bank,com.boa.boaMobileBanking,a3379c0e-4471-48a9-afa1-cf4928d21f91,Robel Tigistshita,https://play-lh.googleusercontent.com/a-/ALV-UjVd7Y-CcATr-ICcy_djhklU_8Rke3JwWsuYdsGVTtWzD8zBuabR,1,,2024-04-23 10:22:10,,,,1,Absolutely terrible experience! The app didn't work properly and I couldn't even finish creating an account.,,,,
