bank,reviewId,userName,userImage,👍,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,score,Comments,Keywords,LDA_Category,Sentiment,Insight
Abyssinia Bank,322c12e9-1e9a-4609-b4c0-3ef5f78ff589,Yonas A,https://play-lh.googleusercontent.com/a-/ALV-UjXjmqRijwRp6VOnJeChEHrGETK1Q48QR-Nnzex9FR6vYtlCqkI,0,24.05.07,2024-05-21 13:17:07,,,24.05.07,1,"Playstore need to have some option to give 0 stars because this application right here, deserve exactly that, imagine being one of the biggest banks In the country and can't manage to have good mobile application in the Era of mobile money, you guys are in the brink of collapse you better make it right real quick or you gonna be 10 meters down to the grave. DON'T USE THIS APP, IT'S WASTE OF TIME.",,,,
Abyssinia Bank,42e6b999-2d95-4374-bf40-93c60d08c58f,Abdurezak Awol,https://play-lh.googleusercontent.com/a/ACg8ocLCmdIlPGhPVyBGE322N90IuzLV4-1hbuSM-kdIOVDy16fjkw=mo,0,24.05.07,2024-05-20 23:29:06,,,24.05.07,2,It's good when i've downloaded at first. But now it doesn't work well,,,,
Abyssinia Bank,d8c26573-6298-42ad-b768-d2981e2ec79b,Eyasu Ketema,https://play-lh.googleusercontent.com/a-/ALV-UjVrk18OTDh1H5Y1wU_PhLkakSUzDdHPG5rtVJoRFSMdznmCjO_YOg,0,24.05.07,2024-05-20 19:24:24,,,24.05.07,1,It's just terrible. It kept crashing in middle of transaction. Hell sometimes it won't open. My phone is stock Android (pixel 8) and I don't even know how this happens. Fix it!,,,,
Abyssinia Bank,9a9a538f-0286-4c22-b170-ae47466f92df,Destaw Ngate,https://play-lh.googleusercontent.com/a/ACg8ocLFbIcCGoVz8QpIAWs6GOHtO12dMnCy5Em5_ipsFbQgtaHYkA=mo,0,24.05.07,2024-05-20 16:50:21,,,24.05.07,5,ደስታው ንጋቴ,,,,
Abyssinia Bank,fe4f2a61-8e80-47ea-ad5e-eb9c9e4f1dca,Fuad Yasin,https://play-lh.googleusercontent.com/a/ACg8ocLhNM_kP5jfWMfHbSjGDVVRgan1N2xgadnmNu1_wP8ho05PsA=mo,0,,2024-05-20 16:48:41,,,,5,Best,,,,
Abyssinia Bank,e1cb88c9-03ce-477d-8001-8d02c35b5410,Kafo Bereket,https://play-lh.googleusercontent.com/a-/ALV-UjW38Cu5T864Bvgv6iC1T82SYWRwFjX6L37zvkaKOySGf5tkfuY,0,24.05.07,2024-05-20 10:43:51,,,24.05.07,5,Good but not working top up,,,,
Abyssinia Bank,c7bdb934-1d56-4458-884c-9917d8988cdd,Habtsh Darge,https://play-lh.googleusercontent.com/a/ACg8ocJXfM7m1l1UODfWTfj2typb4n3HhR_hKfhOv61FmJa-9tMYAw=mo,0,24.05.07,2024-05-20 08:08:41,,,24.05.07,1,በጣም ቀፋፊ አፕ ነው ። ሰርቶ አያውቅም ። በጣም ብዙ ችግር አለበት ከአቢሲኒያ ባንክ የማይጠበቅ አፕ ለምን ደህና ዲቨሎኘር ቀጥራችሁ አፕሊኬሽኑን ድጋሚ አታሰሩትም ?,,,,
Abyssinia Bank,7ab09299-43f9-4a0d-9508-da33dcfef128,Asmelash Yibeyin,https://play-lh.googleusercontent.com/a/ACg8ocL6O3P8KhaFg93Z0bd6apaYR-fMPFTCPjx6pAahoe0gptpmpg=mo,0,,2024-05-19 13:56:19,,,,5,It is good,,,,
Abyssinia Bank,c7f6d57a-426d-44a2-a329-f14f95f344c8,berba Shiferaw,https://play-lh.googleusercontent.com/a/ACg8ocKM5Mk41Z493vhcUF6Bmx5knwnLzVL3bhZDVCOk2nOA7sTuPg=mo,0,24.05.07,2024-05-18 17:07:41,,,24.05.07,3,Great app..,,,,
Abyssinia Bank,5b6eabc7-30fd-4b72-ba91-8acb7763f48b,Befekadu Teka,https://play-lh.googleusercontent.com/a/ACg8ocKiTCtrp5tU4ZlgT56EDAu_NZHBw2LLmMU7l6mJ1X1k_uO_8g=mo,0,24.05.07,2024-05-18 13:42:05,,,24.05.07,1,This app is the most worst app I used in Ethiopia and belive me I know I live in Ethiopia. Being the fincial app It doesn't work when you want it. It makes you wait for cash out code and immediately debit the amount before sending the code I have got to say abysinia bank I didn't expect this from you and I use CBE mobile banking,,,,
Abyssinia Bank,b0e61cde-a91f-4045-8d3d-b6c8267228c4,Ebrahim Mohammed,https://play-lh.googleusercontent.com/a/ACg8ocLQk8YYl7sZ42t3YwprwCx9cl9jer-uqbzjZf8lsVfRizaHkg=mo,0,24.05.07,2024-05-18 12:02:15,,,24.05.07,5,Best,,,,
Abyssinia Bank,40809be3-51b6-4a73-a877-219f0c3f1fe1,Weld Habt,https://play-lh.googleusercontent.com/a/ACg8ocImYNi_K5hHxRvKkqvE3PJj8CeOuJ-xjcjWh-ejEt7I1VMrhw=mo,0,24.05.07,2024-05-18 11:42:31,,,24.05.07,5,Very good,,,,
Abyssinia Bank,e0d6dd6e-a7b1-4010-9123-2a5fc532b4e5,alemu fufa,https://play-lh.googleusercontent.com/a/ACg8ocJVLKlvmTfXsk_UL_Vv6nUfVlMl_rhKBzYJjz6Ezy1Hnm3Odg=mo,0,24.05.07,2024-05-18 11:19:13,,,24.05.07,5,BOA,,,,
Abyssinia Bank,1bdac495-0844-4896-b693-213485aad561,Dallol App,https://play-lh.googleusercontent.com/a-/ALV-UjVblQTqhxQOMp4nEMk91ykiixEM2H0Z6kkh-jDLHIikNnMB4ow,2,24.05.07,2024-05-18 09:39:32,,,24.05.07,2,"Hit and miss. When it works, it's good. But it rarely works.",,,,
Abyssinia Bank,0a3b1a6e-625e-44de-b24f-799818bef015,jhon Zebene,https://play-lh.googleusercontent.com/a/ACg8ocJMYACzDvYRfgAs3N2cuO30fFRskOKfy9pDNs8JHThnNE09fA=mo,0,24.05.07,2024-05-18 09:12:46,,,24.05.07,1,Poor mobile banking alwayes not working alwayes,,,,
Abyssinia Bank,1d71b9e5-39e0-4a6b-a6f3-eb0d34c6f007,Yoseph Araya,https://play-lh.googleusercontent.com/a/ACg8ocJumpFmJU8Ql-UITIB_mcr1TNXavuI85Y5jk5hPSZYRkqFMlg=mo,2,24.04.26,2024-05-17 22:21:05,,,24.04.26,1,"Absolutely the worst mobile banking app.it crashs every time,problem when logging in and and cuts my balance when top up without even recharging",,,,
Abyssinia Bank,ca6712d9-490f-475a-b25e-07220baba912,Beri Kila,https://play-lh.googleusercontent.com/a-/ALV-UjV6GZMNF4w7SjKTMJ9ZrlrZ7c1_JdYIfK8KoHeKVpsl09q-usPw8g,0,24.05.07,2024-05-17 09:31:23,,,24.05.07,4,Fails occasionally.,,,,
Abyssinia Bank,727b69e6-8312-442c-8676-28862f228724,Sam Zewdie,https://play-lh.googleusercontent.com/a-/ALV-UjWeYP7VY_5mf_YMWn_AIyCB0-iiDcBgGGFlKgkEeMKu7YMsTJU7,0,24.05.07,2024-05-16 20:18:54,,,24.05.07,1,Worst app ever,,,,
Abyssinia Bank,7d16d3ef-40cf-4a2d-89ac-c7777240613a,Mamie King,https://play-lh.googleusercontent.com/a-/ALV-UjXJNFgEBlhNk54z8P5tf2kghqJdLVwwfMUa8y76nSuNZQCRjEUA,0,,2024-05-16 19:56:36,,,,5,Easy and cool app,,,,
Abyssinia Bank,aa371575-e336-45c7-b35c-700dc3c4c346,Efrem Bahru,https://play-lh.googleusercontent.com/a/ACg8ocJ2olHXp9OE_ZaeOFL1DZ6zRNSzU8mi6T4m1C1qxIr3b6ePuA=mo,0,24.05.07,2024-05-16 17:03:12,,,24.05.07,5,open,,,,
Abyssinia Bank,b1da4e90-99b5-4ba4-9f21-4d20a34afaae,HAMZA MUHABAW,https://play-lh.googleusercontent.com/a-/ALV-UjXGMOnXBzmrX4n4-F_OVBC0kFPvwwD9rqCAGU-_wyj1C6zkb5w8,0,,2024-05-16 11:30:20,,,,1,App is so bad network,,,,
Commercial Bank of Ethiopia,d9630911-9063-4f3b-8653-594ff926263e,Michael Shanko,https://play-lh.googleusercontent.com/a/ACg8ocJAmH8AYJBegID8iKbequFdrKgXWvXxmWPFCmXNwitcTp90UeU=mo,0,5.0.4,2024-05-21 15:36:34,,,5.0.4,1,👎,,,,
Commercial Bank of Ethiopia,67aea06f-8132-4d8e-98c4-58aba268e80b,Abinet Tilahun,https://play-lh.googleusercontent.com/a/ACg8ocIxTtB64ippqz1Eq7T5cwRj0dcVZk1sghhie718GtzgTVDwHQ=mo,0,5.0.4,2024-05-21 13:49:46,,,5.0.4,5,there is no statement or transaction history its basic thing,,,,
Commercial Bank of Ethiopia,9fe66661-d584-4415-b028-b8b5ef472b50,asni mola,https://play-lh.googleusercontent.com/a-/ALV-UjUdKyS7Jm7We-d3R4V1P6p6dAWcjoixFAB9t9ibA7p9xFdhO_xV,0,5.0.4,2024-05-21 13:43:04,,,5.0.4,5,very good👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,,,,
Commercial Bank of Ethiopia,ebd1406c-b076-4682-971d-ef1880a736a0,Muluken Yonas,https://play-lh.googleusercontent.com/a/ACg8ocKtV5vNynIXESq9ZK_-m-eUQw4E2-oe4NKlkMK9zPYcqA2tzw=mo,0,5.0.4,2024-05-21 13:29:38,,,5.0.4,5,Is excellent i ever seen,,,,
Commercial Bank of Ethiopia,5dba0620-e6f7-4558-a4ed-805c29a9c625,Ramadan Yusuf,https://play-lh.googleusercontent.com/a/ACg8ocK_tswO__BucN4grB9bEhenCQ3v7fwsrLgzGzWdpBBhFmiUEQ=mo,0,5.0.4,2024-05-21 03:35:37,,,5.0.4,5,Wawa,,,,
Commercial Bank of Ethiopia,ffbb8f10-3811-4c87-a732-408b56bbffa0,Ahdilfata yakase Ahdilfata,https://play-lh.googleusercontent.com/a-/ALV-UjWyTBzGLt69MxHiVNLhftVWv-ZPm6hgF7sTL2qgtSVE7pU1vXAG,0,,2024-05-20 14:25:56,,,,5,Best,,,,
Commercial Bank of Ethiopia,6cef62f3-8d9d-4ecc-855c-60cfb8bc7346,Lemma Tadesse,https://play-lh.googleusercontent.com/a-/ALV-UjWXEk-J6MQ2HOmDFkID8DQnbttxTx6sZ3YWTlAvTcopI_2NFOA8,0,5.0.4,2024-05-20 12:15:42,,,5.0.4,5,Best financial app,,,,
Commercial Bank of Ethiopia,0c4cc5a6-a66c-4706-916e-0dd0ae42f8f4,TEAME HAGOS TESFAY,https://play-lh.googleusercontent.com/a-/ALV-UjUsL2weL_NyhPojLbY20S2oVNuRt9nFu5k-IWVi4WeQLO5gJCy_,1,5.0.4,2024-05-19 21:40:00,,,5.0.4,1,"Can got 0 ⭐ Please ! this App is completely Scam Becouse I made payment in other bank option in the App but the APP (-) mY BALANCE BUT NO successful notification to get screen shoot, no SMS and no Transaction history and I alerdy lost my mony becous my clint also does not get the mony i sent! I pay but I didn't got mony! stey away frim CBE",,,,
Commercial Bank of Ethiopia,6c751c93-2de4-47bf-9b34-8e3ed43ead15,daniel tibebu,https://play-lh.googleusercontent.com/a-/ALV-UjUxj0_k_6BAeh7xGEu0MUSk_bcyYQmfNaQ-CaMcTUoEO2jgvoo,0,5.0.4,2024-05-19 20:05:11,,,5.0.4,3,"It is nice app, but I couldn't see back transactions, it is restricted for recent transactions only.",,,,
Commercial Bank of Ethiopia,c7e4ddb9-83e8-4ce8-9d26-fbbcff59718b,Nuru Jemal,https://play-lh.googleusercontent.com/a-/ALV-UjUuBHsymE_33IfohlOBhqYtogUvNM8Jd4Qdy2c4XUJNNuegCQmj,0,5.0.4,2024-05-19 19:43:15,,,5.0.4,1,I like this application and It's very useful,,,,
Commercial Bank of Ethiopia,11fa586b-16bc-4fb3-b99b-74aeb4139f72,Stephanos A,https://play-lh.googleusercontent.com/a/ACg8ocJ682m_joSUbgosWk185axoW2sofSiPGgwxSBtygpoWHuuY4w=mo,0,5.0.4,2024-05-19 17:57:52,,,5.0.4,3,"The app is functional with some failures, need much work on the user experience.",,,,
Commercial Bank of Ethiopia,91323cb3-0dc5-49e1-a417-ccbc2e0aff18,Moh Ali8,https://play-lh.googleusercontent.com/a/ACg8ocLFcM-XQjuJhjbHm7PgSzUR1Ug8M0cu2IklJhIHavQq17Aspw=mo,1,5.0.4,2024-05-19 05:57:05,,,5.0.4,1,"I am a business man i use this app long time, but it is very poor there is no filter to search the transactions of one Acc. If want to now how many times i send or receive.",,,,
Commercial Bank of Ethiopia,16e652b3-2da6-47d2-8de4-83cdcbdce14a,Adane,https://play-lh.googleusercontent.com/a-/ALV-UjUbqZMvtQRcuVp6ZIJeYxCUGKRSoSKcL0lXFUhLkwjNhDhgo359,0,5.0.4,2024-05-18 22:03:37,,,5.0.4,2,The app doesn't support amharic characters For writing payment reason. It suppose to support writing in amharic(geez) alphabet,,,,
Commercial Bank of Ethiopia,bee63088-32b5-4803-a0d0-5b9ad0dc73e0,Mubarek Muhamed,https://play-lh.googleusercontent.com/a/ACg8ocJVeMU_1RXgQgBxbtkfU6PK-syTb2OXI2NHyOvYRq0EXPQDCg=mo,0,5.0.4,2024-05-18 17:55:55,,,5.0.4,1,Seting,,,,
Commercial Bank of Ethiopia,686e0ac0-1b5b-4bc5-b57a-d526a0326bb2,Salaah Agamad,https://play-lh.googleusercontent.com/a/ACg8ocLEIcjgpZnr2pv9b4w5u596yqoRXNYPeJsrte1WoUTRruCxLg=mo,0,5.0.4,2024-05-18 15:41:24,,,5.0.4,5,Good,,,,
Commercial Bank of Ethiopia,502ce53d-4e3f-46b1-af65-4720d018e434,Lusi Yemis,https://play-lh.googleusercontent.com/a/ACg8ocJC6tpUeV5P-LPnyHCAlHsDPnuUuzHMgwYRZAVaDnbXm-SOcg=mo,0,5.0.4,2024-05-18 15:20:07,,,5.0.4,5,Nice app,,,,
Commercial Bank of Ethiopia,ddaf6f30-7010-4d7b-89c1-cceb2a6915a0,Demlew,https://play-lh.googleusercontent.com/a/ACg8ocJ-m7z54Y-kA1ij8hAtrYMeEDVIwz-mGF8bcb7vdAMCYuCU1A=mo,1,5.0.4,2024-05-18 13:29:33,,,5.0.4,5,It is a good app. It only requires the account holder to use it regularly. It will be better if you make it available every time the user needs it whether he uses it regularly or not. Why is it closed?,,,,
Commercial Bank of Ethiopia,2099b341-2d62-475b-aa31-0047a62f0a81,Tesfaye Lemma,https://play-lh.googleusercontent.com/a-/ALV-UjV-O-PCv_pC3L5JNgEIZnnfyfBI8hLtmUlp0UTRlWEtHzKrxL4R,0,5.0.4,2024-05-17 21:27:26,,,5.0.4,5,"Simple, fast and secure",,,,
Commercial Bank of Ethiopia,d882ad7e-cb0f-4921-bb98-daf6275a2d98,Maansheeye 2021,https://play-lh.googleusercontent.com/a-/ALV-UjXV3FqUD3iz_RiKtNXFg7YqXxWnd2i5tfVUtfmz0V-zNiAjCEY,2,5.0.4,2024-05-17 21:22:34,,,5.0.4,4,"It is helpful app which can be used easily but one important thing, when you send or receive a money it does not appear the hour and the minutes. You don't know if it is afternoon or morning. It is better the receipt to have date and time.",,,,
Commercial Bank of Ethiopia,2444330a-40a0-4dfc-93c7-1fb7556aaebd,Dubale Man,https://play-lh.googleusercontent.com/a/ACg8ocITNPE3BXq-5Mbl0HH59fQ_g7ncO0e_9kSfXnGD6dlfuLIKJg=mo,0,1.0,2024-05-17 20:09:00,,,1.0,5,Good,,,,
Commercial Bank of Ethiopia,e7594191-faa0-4398-9186-c4df94a3ff49,Minichel,https://play-lh.googleusercontent.com/a-/ALV-UjVZ9C85MYH4zB0iddzupqkvYyYcqQsVp_CvjR6w2X34ChKGo6k,0,5.0.4,2024-05-17 16:30:01,,,5.0.4,5,Good,,,,
Commercial Bank of Ethiopia,12c38493-289b-4357-8c82-795f42fa0343,Hulu bersu Hone,https://play-lh.googleusercontent.com/a/ACg8ocIYCa5ZqK5s2gqCFHY7VwbGaUjl1aZ3M5qk822jla3AaPUWrA=mo,0,5.0.4,2024-05-17 16:02:39,,,5.0.4,5,Great 👌,,,,
Commercial Bank of Ethiopia,97513cf9-2d7f-487d-9aed-ea3b55ed42fe,Getachew Melkamu abate,https://play-lh.googleusercontent.com/a/ACg8ocIdRC0pjROlJb1XGm4b9KvyB1-_aWoVEaKu-OgUFaCaBJNCEw=mo,0,5.0.4,2024-05-17 15:54:56,,,5.0.4,5,I Like the Apps,,,,
Commercial Bank of Ethiopia,738659a0-cefe-4c28-84a2-d000464baf8a,Selam Meressa,https://play-lh.googleusercontent.com/a-/ALV-UjX5GzUZpFb0H-0WHLuJk_zqxItm5vvsFMCeNL2ZIMez9nZQ4Lxp,0,5.0.4,2024-05-17 15:49:00,,,5.0.4,5,Face id,,,,
Commercial Bank of Ethiopia,2905e2a7-14c4-40b6-9cf0-a76a30b14f78,Gezahegn Teshome,https://play-lh.googleusercontent.com/a-/ALV-UjW6Ty_jVnXuiPA5perW9WpxlLK3SVzalqymWYXOE6lFQzAX3uaU,0,5.0.4,2024-05-17 15:26:00,,,5.0.4,5,Cool,,,,
Commercial Bank of Ethiopia,013a7efd-d834-4143-b89e-09cdc5b461cf,Umar Gebo,https://play-lh.googleusercontent.com/a-/ALV-UjW8uhS8njyBRwuwAkHg0CIRLqyPNHSx6Mx7ngw25DslIKVlleWu,0,,2024-05-17 14:10:42,,,,5,Very good apps. Thus help other for thier problem.,,,,
Commercial Bank of Ethiopia,1e4c9ffb-6bf3-4381-af3e-f7f3faaacd2b,Alamirew Haile,https://play-lh.googleusercontent.com/a-/ALV-UjVzaOY1imTSCr8fIGRcxKb1WLEnGCrb5ilnR5NN2cMd9oU3ramW,0,5.0.4,2024-05-17 13:02:30,,,5.0.4,4,It's very interesting,,,,
Commercial Bank of Ethiopia,7adf2d4c-1215-4ce6-a5d3-42a3b7bf7877,BIRUK HAILE,https://play-lh.googleusercontent.com/a-/ALV-UjWFjFaXL_sVpUsoYIUtbFqHLQX0ndH5tTpiWcbt_sv26G7FZsJs,1,5.0.4,2024-05-17 08:24:11,,,5.0.4,4,Cbe provides a greatest mobile banking service in Ethiopia.,,,,
Commercial Bank of Ethiopia,95d694ba-9a96-4ad1-a9e5-eefab9148328,Olana Balloo Mulataa,https://play-lh.googleusercontent.com/a-/ALV-UjVwi_Ud39v3lD89LXLyzW3lmMXzqQS5jCspkzaZhB-Ou8PGYnJK,0,5.0.4,2024-05-16 23:05:24,,,5.0.4,5,Sabaafiin,,,,
Commercial Bank of Ethiopia,bd4fc90a-a24f-4d6c-a6eb-3a0258faa30b,Faiz Awol,https://play-lh.googleusercontent.com/a/ACg8ocIGzjVTw1ZBoJv3ur1LLPUn67atfaShAKI0ABd7160ZyiX-5Q=mo,0,5.0.4,2024-05-16 22:29:27,,,5.0.4,5,Bast app I know I don't forget this app in my bank account,,,,
Commercial Bank of Ethiopia,6d55fd9b-f7d5-4261-82d2-a639ea1b7275,ABU AMIR MUHAMMED,https://play-lh.googleusercontent.com/a-/ALV-UjWiRKMWWu2dARpaWlAm_kPkwUL6YD79_CADjOR0VOlkpv6jhXFmdQ,0,5.0.4,2024-05-16 17:07:13,,,5.0.4,5,Best application,,,,
Commercial Bank of Ethiopia,00b2b818-13fc-466c-a13a-42b105506683,Sula Sula,https://play-lh.googleusercontent.com/a/ACg8ocIWoHqE6rOHaWgaQxHSzuVmWnCs9UvxCqDl83f104JpsiAOOQ=mo,0,5.0.4,2024-05-16 15:23:55,,,5.0.4,1,nice app,,,,
Commercial Bank of Ethiopia,f84cd262-8db5-4468-baa9-e21a862c0fb0,Nuguse Hanqu,https://play-lh.googleusercontent.com/a/ACg8ocIw0rrvP21w3Oudlf6e2iAnyjKHdW3Cc5IzSweHkxRbcejGmg=mo,1,,2024-05-15 23:59:33,,,,5,Nuguse hanku,,,,
